EU I-ORG
_RARE_ O
German I-MISC
call O
to O
boycott O
British I-MISC
_RARE_ O
. O

Peter I-PER
Blackburn I-PER

BRUSSELS I-LOC
1996-08-22 O

The O
European I-ORG
Commission I-ORG
said O
on O
Thursday O
it O
_RARE_ O
with O
German I-MISC
advice O
to O
consumers O
to O
_RARE_ O
British I-MISC
_RARE_ O
until O
scientists O
determine O
whether O
mad O
cow O
disease O
can O
be O
_RARE_ O
to O
sheep O
. O

Germany I-LOC
's O
representative O
to O
the O
European I-ORG
Union I-ORG
's O
veterinary O
committee O
_RARE_ I-PER
_RARE_ I-PER
said O
on O
Wednesday O
consumers O
should O
buy O
_RARE_ O
from O
countries O
other O
than O
Britain I-LOC
until O
the O
scientific O
advice O
was O
_RARE_ O
. O

" O
We O
do O
n't O
support O
any O
such O
_RARE_ O
because O
we O
do O
n't O
see O
any O
grounds O
for O
it O
, O
" O
the O
Commission I-ORG
's O
chief O
spokesman O
_RARE_ I-PER
van I-PER
der I-PER
_RARE_ I-PER
told O
a O
news O
briefing O
. O

He O
said O
further O
scientific O
study O
was O
required O
and O
if O
it O
was O
found O
that O
action O
was O
needed O
it O
should O
be O
taken O
by O
the O
European I-ORG
Union I-ORG
. O

He O
said O
a O
proposal O
last O
month O
by O
EU I-ORG
_RARE_ O
Commissioner O
_RARE_ I-PER
Fischler I-PER
to O
ban O
sheep O
_RARE_ O
, O
_RARE_ O
and O
spinal O
_RARE_ O
from O
the O
human O
and O
animal O
food O
chains O
was O
a O
highly O
specific O
and O
_RARE_ O
move O
to O
_RARE_ O
human O
health O
. O

Fischler I-PER
proposed O
_RARE_ I-MISC
measures O
after O
reports O
from O
Britain I-LOC
and O
France I-LOC
that O
under O
_RARE_ O
conditions O
sheep O
could O
contract O
_RARE_ I-MISC
_RARE_ I-MISC
_RARE_ I-MISC
( O
BSE I-MISC
) O
-- O
mad O
cow O
disease O
. O

But O
Fischler I-PER
agreed O
to O
review O
his O
proposal O
after O
the O
EU I-ORG
's O
standing O
veterinary O
committee O
, O
_RARE_ O
animal O
health O
officials O
, O
questioned O
if O
such O
action O
was O
_RARE_ O
as O
there O
was O
only O
a O
slight O
risk O
to O
human O
health O
. O

Spanish I-MISC
_RARE_ O
Minister O
_RARE_ I-PER
de I-PER
_RARE_ I-PER
had O
earlier O
accused O
Fischler I-PER
at O
an O
EU I-ORG
farm O
ministers O
' O
meeting O
of O
_RARE_ O
_RARE_ O
_RARE_ O
through O
" O
dangerous O
_RARE_ O
. O
" O

. O

Only O
France I-LOC
and O
Britain I-LOC
backed O
Fischler I-PER
's O
proposal O
. O

The O
EU I-ORG
's O
scientific O
veterinary O
and O
_RARE_ O
_RARE_ O
are O
due O
to O
_RARE_ O
the O
issue O
early O
next O
month O
and O
make O
_RARE_ O
to O
the O
senior O
veterinary O
officials O
. O

_RARE_ O
have O
long O
been O
known O
to O
contract O
_RARE_ O
, O
a O
_RARE_ O
disease O
similar O
to O
BSE I-MISC
which O
is O
believed O
to O
have O
been O
_RARE_ O
to O
cattle O
through O
feed O
containing O
animal O
waste O
. O

British I-MISC
farmers O
denied O
on O
Thursday O
there O
was O
any O
danger O
to O
human O
health O
from O
their O
sheep O
, O
but O
expressed O
concern O
that O
German I-MISC
government O
advice O
to O
consumers O
to O
avoid O
British I-MISC
_RARE_ O
might O
_RARE_ O
consumers O
across O
Europe I-LOC
. O

" O
What O
we O
have O
to O
be O
extremely O
_RARE_ O
of O
is O
how O
other O
countries O
are O
going O
to O
take O
Germany I-LOC
's O
lead O
, O
" O
_RARE_ I-ORG
National I-ORG
_RARE_ I-ORG
' I-ORG
Union I-ORG
( O
_RARE_ I-ORG
) O
chairman O
John I-PER
Lloyd I-PER
Jones I-PER
said O
on O
_RARE_ I-ORG
radio I-ORG
. O

Bonn I-LOC
has O
led O
efforts O
to O
_RARE_ O
public O
health O
after O
consumer O
confidence O
_RARE_ O
in O
March O
after O
a O
British I-MISC
report O
_RARE_ O
_RARE_ O
could O
contract O
an O
illness O
similar O
to O
mad O
cow O
disease O
by O
eating O
_RARE_ O
beef O
. O

Germany I-LOC
imported O
_RARE_ O
sheep O
from O
Britain I-LOC
last O
year O
, O
nearly O
half O
of O
total O
imports O
. O

It O
brought O
in O
_RARE_ O
tonnes O
of O
British I-MISC
_RARE_ O
, O
some O
10 O
percent O
of O
overall O
imports O
. O

_RARE_ O
Hendrix I-PER
_RARE_ O
draft O
_RARE_ O
for O
almost O
$ O
_RARE_ O
. O

LONDON I-LOC
1996-08-22 O

A O
rare O
early O
_RARE_ O
draft O
of O
a O
_RARE_ O
by O
U.S. I-LOC
_RARE_ O
_RARE_ O
_RARE_ I-PER
Hendrix I-PER
was O
sold O
for O
almost O
$ O
_RARE_ O
on O
Thursday O
at O
an O
auction O
of O
some O
of O
the O
late O
_RARE_ O
's O
_RARE_ O
_RARE_ O
. O

A O
Florida I-LOC
restaurant O
paid O
_RARE_ O
pounds O
( O
$ O
_RARE_ O
) O
for O
the O
draft O
of O
" O
